,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
133,ASIAN,"ASIAN Men's Skypee-33 Walking,Sports,Running,Gym Casual Sneaker Shoes for Boy's",₹524.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 2 hrs 1 min","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 2 hrs 1 min. ",https://www.amazon.in/ASIAN-Skypee-33-Walking-Running-Sneaker/dp/B09V31C1L4/ref=sr_1_93?keywords=shoes&qid=1669305563&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-93
134,Campus,Campus Women's Alice Running Shoes,₹974.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 2 hrs 1 min","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 2 hrs 1 min. ",https://www.amazon.in/Campus-Womens-L-PRPL-D-PRPL-Running/dp/B08KNM194L/ref=sr_1_94?keywords=shoes&qid=1669305563&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-94
135,ASIAN,"ASIAN Men's Cosco-13 Sports Running,Walking & Gym, School Shoes Lightweight Eva Sole Extra Jump Casual Sneaker Lace-Up Shoes for Men's & Boy's",₹497.00,Returns Policy,"FREE delivery Sunday, 27 November on first order Or fastest delivery Saturday, 26 November. Order within 2 hrs 1 min","FREE delivery Sunday, 27 November on first order. Or fastest delivery Saturday, 26 November. Order within 2 hrs 1 min. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTg4ODU3NDI3NDA4NjA0OjE2NjkzMDU1NjM6c3BfYnRmOjIwMDc3MTAzMTE4ODk4OjowOjo&url=%2FASIAN-Cosco-13-Running-Sports-Multicolor%2Fdp%2FB07V2GPDZY%2Fref%3Dsr_1_95_sspa%3Fkeywords%3Dshoes%26qid%3D1669305563%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-95-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
136,Bacca Bucci,"Bacca Bucci Zeus Men Fashion Sneakers/Running Shoes with Chunky Rubber Outsole for Running, Walking, Training, Gyming, Streets, Parties & Fun","₹1,499.00",30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 2 hrs","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 2 hrs. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTg4ODU3NDI3NDA4NjA0OjE2NjkzMDU1NjM6c3BfYnRmOjIwMDQzNDI2MDEwNDk4OjowOjo&url=%2FBacca-Bucci-Fashion-Sneakers-Training%2Fdp%2FB0973GRMCS%2Fref%3Dsr_1_96_sspa%3Fkeywords%3Dshoes%26qid%3D1669305563%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-96-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
137,Kraasa,Kraasa Sports Shoes for Men | Walking Shoes | Running Shoes for Men,₹599.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 2 hrs","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 2 hrs. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTg4ODU3NDI3NDA4NjA0OjE2NjkzMDU1NjM6c3BfYnRmOjIwMDczMTMzMjc5Nzk4OjowOjo&url=%2FKraasa-Sports-Shoes-Walking-Running%2Fdp%2FB0BBMVMRTK%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dshoes%26qid%3D1669305563%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
138,Bacca Bucci,Bacca Bucci Mens Trainers Athletic Walking Running Gyming Jogging Fitness Sneakers/Sports Shoes,"₹1,198.00",30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 2 hrs","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 2 hrs. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTg4ODU3NDI3NDA4NjA0OjE2NjkzMDU1NjM6c3BfYnRmOjIwMDc2MjY2ODA2ODAzOjowOjo&url=%2FBacca-Bucci-Trainers-Athletic-Sneakers%2Fdp%2FB07S36YGKR%2Fref%3Dsr_1_98_sspa%3Fkeywords%3Dshoes%26qid%3D1669305563%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
139,Generic,Men's Mesh Walking/Outdoor Sports Shoes,₹649.00,30 Days Returns & Exchange,"₹59 delivery Monday, 28 November","₹59 delivery Monday, 28 November. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODg4OTE5Njc5OTU1ODcwOjE2NjkzMDU1NjY6c3BfYXRmX25leHQ6MjAwOTQwODQzNTA5OTg6OjA6Og&url=%2FMens-Black-Sports-Shoes-India%2Fdp%2FB0BGTFNNJ1%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dshoes%26qid%3D1669305566%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
140,BRUTON,"BRUTON Shoes for Trendy, Casual, Running, Exclusive Shoes for Men",₹337.25,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November on first order Or fastest delivery Saturday, 26 November. Order within 2 hrs","FREE delivery Sunday, 27 November on first order. Or fastest delivery Saturday, 26 November. Order within 2 hrs. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODg4OTE5Njc5OTU1ODcwOjE2NjkzMDU1NjY6c3BfYXRmX25leHQ6MjAwNTU3MTk4MzM0OTg6OjA6Og&url=%2FBRUTON-Shoes-Trendy-Running-Exclusive%2Fdp%2FB09X497CYZ%2Fref%3Dsr_1_98_sspa%3Fkeywords%3Dshoes%26qid%3D1669305566%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
141,Kraasa,"Kraasa Men Training, Walking, Gym, Sports Running Shoes",₹599.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 2 hrs","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 2 hrs. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODg4OTE5Njc5OTU1ODcwOjE2NjkzMDU1NjY6c3BfYXRmX25leHQ6MjAwNTgxNDM0MjU0OTg6OjA6Og&url=%2FKraasa-Long-Range-Running-Shoes%2Fdp%2FB07P2PK7BP%2Fref%3Dsr_1_99_sspa%3Fkeywords%3Dshoes%26qid%3D1669305566%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-99-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
142,Bacca Bucci,Bacca Bucci Men's Walking Shoe,"₹1,399.00",30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 1 hr 59 mins","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 1 hr 59 mins. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODg4OTE5Njc5OTU1ODcwOjE2NjkzMDU1NjY6c3BfYXRmX25leHQ6MjAwMzQ4NDE0Njk2MDM6OjA6Og&url=%2FBacca-Bucci-Mens-White-Walking%2Fdp%2FB08DKXZ4HH%2Fref%3Dsr_1_100_sspa%3Fkeywords%3Dshoes%26qid%3D1669305566%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-100-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA2130RQ2DA9D45
